#Transcript position	Transcript coverage profile
0.0	0.27586372350124844
1.0	0.24682837937084093
2.0	0.23492684797345612
3.0	0.1344138186488663
4.0	0.11799475940525049
5.0	0.09508401331703789
6.0	0.10406191704196571
7.0	0.13730978462935253
8.0	0.14732572094472057
9.0	0.11342196761389237
10.0	0.1452821455658185
11.0	0.13252778513661612
12.0	0.06897927938712031
13.0	0.11951073142316292
14.0	0.13407925010353874
15.0	0.10318715616154046
16.0	0.1192796465623833
17.0	0.08665915919744206
18.0	0.0995425944475602
19.0	0.09376943134003785
20.0	0.1047783114140713
21.0	0.12219253932521121
22.0	0.08019852583194227
23.0	0.08655605290299054
24.0	0.1077818698092171
25.0	0.09306510715670452
26.0	0.09444507931414822
27.0	0.11254357997847476
28.0	0.11133868841484398
29.0	0.08905829398882091
30.0	0.09902662994959693
31.0	0.10860961141616443
32.0	0.07828374981679853
33.0	0.11298358937137615
34.0	0.10836691147064641
35.0	0.0523809497180046
36.0	0.061418461723606314
37.0	0.10805863071565917
38.0	0.13627468510395918
39.0	0.06847634557630386
40.0	0.05816031510923755
41.0	0.07083256792347381
42.0	0.054932142028670125
43.0	0.12898718625235842
44.0	0.09082104030466182
45.0	0.07856712752826402
46.0	0.07936777761867768
47.0	0.0763737418247137
48.0	0.06954990092002687
49.0	0.05774599115901631
50.0	0.026503941321975172
51.0	0.04807055526643439
52.0	0.07834610231243408
53.0	0.11003316029651429
54.0	0.08181713512504167
55.0	0.05681283944652075
56.0	0.0901340680036192
57.0	0.046101295404112494
58.0	0.024796915869534655
59.0	0.028967403884780644
60.0	0.03989751180492611
61.0	0.04948180125937164
62.0	0.06426132885324326
63.0	0.0873644776204705
64.0	0.08310492536306342
65.0	0.10541573253391825
66.0	0.05181021451925845
67.0	0.03619615801992968
68.0	0.03986412742382573
69.0	0.03695508823249549
70.0	0.04580558341343453
71.0	0.014396534637676827
72.0	0.06494591096881625
73.0	0.09128121034941
74.0	0.035838292009017766
75.0	0.04030859906094486
76.0	0.055653782201642604
77.0	0.054101662344964545
78.0	0.05790537693023082
79.0	0.06339303990791084
80.0	0.06341394018662283
81.0	0.06209238581187029
82.0	0.038754743017651
83.0	0.09401127904043763
84.0	0.06404373962992138
85.0	0.06212464262265898
86.0	0.06992493746858001
87.0	0.07836365996113952
88.0	0.09869169466964701
89.0	0.06057073010808009
90.0	0.04669084686679406
91.0	0.08030387673773647
92.0	0.08326430315663681
93.0	0.09819437388042547
94.0	0.04888171633243351
95.0	0.09772609853864941
96.0	0.072870006241345
97.0	0.0649607640482187
98.0	0.06298135314941582
99.0	0.018164342576617004
